,time,hum,pre,rain,sunlight,temp,visible-1,w-1,w-2,w-3,weather
0,2021-05-11 13:30:00,65,1008.9,0.0,5.1,31.989,>30,WSW,2.22,--,CLEAR
1,2021-05-11 13:40:00,64,1008.6,0.0,5.3,31.789,>30,WSW,2.42,--,CLEAR
2,2021-05-11 13:50:00,68,1008.5,0.0,5.4,31.589,>30,WSW,2.02,--,CLEAR
3,2021-05-11 14:00:00,66,1008.4,0.0,5.5,32.390,21-30,SW,2.22,6.74,CLEAR
4,2021-05-11 14:10:00,67,1008.3,0.0,5.6,31.789,>30,W,2.02,--,CLEAR
5,2021-05-11 14:20:00,68,1008.3,0.0,5.8,31.589,>30,W,2.72,--,CLEAR
6,2021-05-11 14:30:00,70,1008.1,0.0,5.9,31.589,>30,WSW,2.52,--,CLEAR
7,2021-05-11 14:40:00,67,1008.1,0.0,6.0,32.090,>30,W,2.52,--,CLEAR
8,2021-05-11 14:50:00,69,1008.1,0.0,6.1,31.188,>30,W,2.42,--,CLEAR
9,2021-05-11 15:00:00,67,1008.0,0.0,6.2,31.689,>30,W,3.12,6.14,CLEAR
10,2021-05-11 15:10:00,66,1008.1,0.0,6.4,31.689,>30,W,3.32,--,CLEAR
11,2021-05-11 15:20:00,65,1008.0,0.0,6.5,31.989,>30,W,2.52,--,CLEAR
12,2021-05-11 15:30:00,69,1008.0,0.0,6.5,31.088,>30,W,2.02,--,CLEAR
13,2021-05-11 15:40:00,69,1007.9,0.0,6.6,31.188,>30,W,2.52,--,CLEAR
14,2021-05-11 15:50:00,71,1007.8,0.0,6.6,30.787,>30,W,2.92,--,CLEAR
15,2021-05-11 16:00:00,69,1007.7,0.0,6.8,31.088,>30,W,2.62,7.84,CLEAR
16,2021-05-11 16:10:00,69,1007.6,0.0,6.9,30.787,>30,W,2.02,--,CLEAR
17,2021-05-11 16:20:00,69,1007.6,0.0,7.0,30.787,>30,WNW,1.72,--,CLEAR
18,2021-05-11 16:30:00,69,1007.6,0.0,7.1,30.988,>30,W,2.52,--,CLEAR
